1.53756	-3.19307	0	0	0
47.9996	-124.607	9576.77	0	1
15.8454	-45.9662	117792	576	1
23.2312	-69.3801	158763	640	1
15.6351	-46.5113	245936	720	1
6.21596	-18.5349	182059	592	1
28.6543	-83.5368	72570.7	416	1
26.1152	-67.2403	118102	512	1
25.8418	-70.1668	179920	656	1
8.64721	-25.8831	280086	720	1
16.6684	-32.1875	115611	560	1
4.1211	-10.231	31495.8	384	1
5.53502	-7.76009	17400.7	256	1
3.06407	-4.13075	16133.3	256	0
3.55711	-4.01479	10552	0	0
4.04369	-4.16417	11107.4	0	0
4.95524	-6.66431	11317.8	0	1
7.35983	-17.1353	21996	256	1
10.893	-29.657	42151.1	256	1
3.87059	-9.22185	67908.5	384	1
1.49689	-4.11249	9576.77	0	0
52.9037	-91.5384	127042	576	1
23.8527	-60.898	191070	1024	1
17.8106	-47.7371	414263	1344	1
13.8464	-34.7489	351976	1168	1
12.9394	-33.585	219248	928	1
31.3124	-72.8529	257673	1024	1
20.3693	-49.3154	281356	1200	1
19.0027	-49.5789	464063	1376	1
18.3371	-41.7708	332632	1152	1
19.3266	-43.1774	252325	880	1
5.01613	-7.03226	139422	768	1
4.91161	-10.1553	27530.7	512	1
1.7294	-3.98866	27166.2	256	0
1.69492	-3.84927	22203.9	0	0
1.83085	-3.95804	20803.7	0	0
2.26095	-6.23719	32191.6	256	0
6.87702	-17.5401	62517.9	256	1
14.8883	-37.1862	104620	640	1
4.3096	-12.2098	97505	656	1
42.2799	-45.7506	9250.53	0	1
34.8791	-94.8563	77161.7	800	1
33.746	-78.8441	317141	1296	1
31.4482	-62.7256	397051	1072	1
28.7668	-61.3876	359675	992	1
5.33348	-15.7882	229583	1040	1
41.0366	-96.8245	121656	880	1
31.4196	-82.5197	307619	1216	1
31.1785	-72.8083	470924	1024	1
16.7287	-43.7581	456630	960	1
13.3327	-27.5959	187719	976	1
5.46938	-3.21533	38513	576	0
4.42723	-10.6714	27790.4	256	1
1.61241	-4.15874	25441.9	320	0
1.75728	-3.87286	19024.6	0	0
2.20491	-4.096	18948.3	0	0
2.12954	-5.48415	29787.2	0	0
13.2496	-39.094	51601.7	256	1
45.9349	-67.0738	116236	864	1
8.74775	-26.6139	115734	976	1
8.36213	-23.815	44855.5	416	1
31.742	-54.1477	212652	1200	1
31.8069	-68.3512	357484	1040	1
39.7522	-110.008	400086	1104	1
39.6829	-48.3114	299349	1184	1
38.7351	-58.2302	150653	976	1
40.2999	-90.0235	296133	1200	1
28.2506	-62.0156	409098	1040	1
38.7879	-68.388	421223	1040	1
31.5342	-77.299	234644	1040	1
21.9508	-57.541	254659	864	1
5.56117	-3.3999	188045	560	0
38.5384	-79.2569	32418.3	320	1
19.6055	-45.725	116197	496	1
1.97457	-4.17978	69862.4	432	0
2.74304	-5.75326	19893	0	0
2.50778	-6.42939	27077.9	0	0
34.2859	-46.5743	72435.3	464	1
38.4216	-41.2275	180333	1056	1
34.4	-40.3342	166242	896	1
29.407	-75.3479	63838.2	528	1
37.8767	-110.023	418413	1104	1
35.2879	-80.4621	501919	1184	1
40.9573	-96.8344	478144	1344	1
30.1343	-45.8242	308830	1296	1
32.0361	-70.446	299026	1232	1
52.2505	-119.289	342649	1200	1
53.1213	-82.0191	359818	1216	1
34.1666	-35.5669	338893	1200	1
21.3852	-58.4742	336448	1024	1
26.3012	-76.0882	341512	976	1
5.10186	-10.9845	213737	640	1
34.8642	-41.3185	136522	912	1
30.2716	-79.9832	168175	960	1
15.4772	-23.2855	151309	624	1
5.27344	-7.6492	52551.6	416	1
9.01323	-5.07667	29970.9	256	1
25.2594	-50.5662	124914	720	1
17.8811	-40.5131	221670	1088	1
33.9831	-28.4128	177527	864	1
19.1335	-49.5817	288062	560	1
19.2566	-54.8269	542872	976	1
35.7525	-55.0746	499982	1296	1
